API,excipient,API_percent,exc_percent,API_coated,API_coat_percent,exc_coated,exc_coat_percent,FF,FF_regime
4,33,25,75,1,75,0,0,14.3,4
4,33,0,100,0,0,1,100,15,4
4,33,25,75,1,100,0,0,16.0667,4
4,55,100,0,0,0,0,0,1.18,1
4,55,25,75,0,0,0,0,1.415,1
4,55,50,50,0,0,0,0,1.4926,1
4,55,0,100,0,0,0,0,1.52,1
4,55,75,25,0,0,0,0,1.8001,1
4,55,25,75,1,25,0,0,2.1293,2
4,55,25,75,1,1,0,0,2.26,2
4,55,25,75,1,50,0,0,2.6786,2
4,55,25,75,1,100,0,0,2.964,2
4,55,50,50,1,25,0,0,3.26,2
4,55,25,75,1,75,0,0,3.2637,2
4,55,75,25,0,0,1,100,3.600502,2
4,55,75,25,1,50,0,0,3.662,2
4,55,75,25,1,25,0,0,3.7822,2
4,55,50,50,1,100,0,0,3.7951,2
4,55,50,50,1,1,0,0,4.0733,3
4,55,75,25,1,1,0,0,4.4233,3
4,55,50,50,1,50,0,0,4.4848,3
4,55,75,25,1,75,0,0,4.5626,3
4,55,50,50,0,0,1,100,4.648240333,3
4,55,0,100,0,0,1,100,4.73,3
4,55,25,75,0,0,1,100,4.967037667,3
4,55,25,75,1,100,1,100,5.31,3
4,55,100,0,1,100,0,0,5.5,3
4,55,75,25,1,100,0,0,5.5782,3
4,55,50,50,1,100,1,100,5.61,3
4,55,75,25,1,100,1,100,5.71,3
4,55,50,50,1,75,0,0,6.2296,3
